Genre Group,Count
Animation/Biography/Drama,8
Adventure/History,8
Romance/Sci-Fi,8
Action/Comedy/Musical,8
Adventure/Comedy/Music,8
Romance/Drama,8
Drama/Fantasy/Musical,8
Animation/Musical,8
Adventure/Drama/Music,8
Adventure/Documentary/Family,8
Documentary/Horror/Mystery,8
Action/Fantasy/Romance,8
Drama/Film-Noir/Thriller,8
Comedy/Horror/Short,8
Drama/Family/Sci-Fi,7
Adventure/Crime,7
Horror/Musical,7
Comedy/Crime/Musical,7
Crime/Drama/War,7
Adventure/Crime/Family,7
Drama/Family/War,7
Fantasy/Mystery/Sci-Fi,7
Fantasy/Short,7
Documentary/Reality-TV/Sport,7
Horror/Thriller/Western,7
Drama/War/Western,7
Documentary/Drama/Short,7
Crime/Sci-Fi/Thriller,7
Comedy/Fantasy/Mystery,7
Adventure/War,7
Horror/Reality-TV,7
Action/Mystery,7
Drama/Sport/Thriller,7
Crime/Documentary/Music,7
Drama/History/Musical,7
Action/Family,7
Comedy/Mystery/Sci-Fi,7
Drama/Family/Short,7
Drama/Horror/Short,7
Crime/Mystery/Sci-Fi,7
Family/Musical,7
Animation/Comedy/Sport,7
Crime/Film-Noir/Thriller,7
Adventure/Mystery/Sci-Fi,7
Game-Show/Music,7
Documentary/Drama/News,7
Thriller/Western,6
News,6
Family/Fantasy/Sci-Fi,6
Documentary/Romance,6
Biography/Drama/Horror,6
Music/Musical,6
Animation/Horror/Short,6
Adventure/History/War,6
Adventure/Mystery/Thriller,6
Drama/Musical/Mystery,6
Crime/Horror/Romance,6
Animation/Mystery,6
Biography/Drama/Western,6
Action/Animation/Mystery,6
Family/Fantasy/Mystery,6
Animation/Horror,6
Drama/Sci-Fi/Short,6
Documentary/Fantasy,6
Comedy/Crime/Music,6
Animation/Fantasy/Music,6
Documentary/History/Reality-TV,6
Drama/Film-Noir/Romance,6
Adventure/History/Romance,6
Action/Game-Show/Reality-TV,6
Biography/Documentary/News,6
Adventure/Family/Romance,6
Fantasy/Mystery,6
Adventure/Comedy/History,6
Adventure/Fantasy/Mystery,6
Adventure/Biography/Comedy,6
Documentary/Drama/War,6
Crime/Fantasy/Horror,6
Music/Short,6
Animation/Comedy/Documentary,5
Biography/Documentary/War,5
Animation/Horror/Mystery,5
